PLACE,state,utility_name,number,pwsid,total_monitoring_and_reporting_other_violations,total_health_based_violations,more_than_5_violations,IF_MORE_THAN_5_year_of_most_recent_violation,IF_MORE_THAN_5_number_of_violations_2016.2020,VIO_Missing,ERROR_CrossChecked_NoViolationData,IF_LESS_THAN_5_number_vio_2016.2020,IF_LESS_THAN_5_year_of_most_recent_violation,Comments,services_provided,county,institutional_arrangement,rate_change_water,rate_change_sewer,year_or_date_of_last_rates_change,median_household_income_in_2017_u_s_census_bureau,approx_number_of_water_connections_epa_sdwis,service_population_approx,source_water,notes_and_assumptions_about_rates_and_calculated_bills,billing_period_water,base_charge_pricing_water,monthly_gallons_provided_with_base_charge_allowance_water,water_rate_structure,number_of_blocks_water,first_block_maximum_monthly_gallons_water,outside_inside_bill_differential_at_5_000_gallons_water,water_zero_gallons_0_cf,water_zero_gallons_outside_0_cf,water_3_000gallons_401_cf,water_3_000gallons_outside_401_cf,water_4_000gallons_535_cf,water_4_000gallons_outside_535_cf,water_5_000gallons_668_cf,water_5_000gallons_outside_668_cf,water_7_000gallons_936_cf,water_7_000gallons_outside_936_cf,water_10_000gallons_1_337_cf,water_10_000gallons_outside_1_337_cf,water_15_000gallons_2_005_cf,water_15_000gallons_outside_2_005_cf,billing_period_sewer,base_charge_pricing_sewer,monthly_gallons_provided_with_base_charge_allowance_sewer,sewer_rate_structure,number_of_blocks_sewer,first_block_maximum_monthly_gallons_sewer,outside_inside_bill_differential_at_5_000_gallons_sewer,sewer_zero_gallons_0_cf,sewer_zero_gallons_outside_0_cf,sewer_3_000gallons_401_cf,sewer_3_000gallons_outside_401_cf,sewer_4_000gallons_535_cf,sewer_4_000gallons_outside_535_cf,sewer_5_000gallons_668_cf,sewer_5_000gallons_outside_668_cf,sewer_7_000gallons_936_cf,sewer_7_000gallons_outside_936_cf,sewer_10_000gallons_1_337_cf,sewer_10_000gallons_outside_1_337_cf,sewer_15_000gallons_2_005_cf,sewer_15_000gallons_outside_2_005_cf,operating_ratio_fy2018_water,operating_ratio_fy2018_sewer,date_of_last_rates_change,median_household_income_in_2016_census_bureau,implied_rate_structure_for_residential_usage_15_000_gallons_month_water,outside_inside_bill_differential_at_6_000_gallons_water,oper_revenue_oper_expense_inc_depreciation_water,water_6_000gallons_802_cf,water_6_000gallons_outside_802_cf,wastewater_rate_structure,implied_rate_structure_for_residential_usage_15_000_gallons_month_sewer,outside_inside_bill_differential_at_6_000_gallons_sewer,oper_revenue_oper_expense_inc_depreciation_sewer,sewer_6_000gallons_802_cf,sewer_6_000gallons_outside_802_cf,x2016_median_household_income_census,x2016_median_house_value_wi_department_of_revenue,estimated_service_population_epa,number_of_accounts_psc,primary_county,water_planning_region_name,implied_uniform_rate_rate_structure_for_residential_usage_15_000_gals_month,oper_revenue_oper_expense_fy2016,monthly_public_fire_protection_charge,water_1_000gallons_137_cf,water_2_000gallons_267_cf,water_8_000gallons_1_069_cf,water_9_000gallons_1_203_cf,old_institutional_arrangement,old_source_water,old_billing_period_water,monthly_bill,old_water_rate_structure,old_billing_period_sewer,old_sewer_rate_structure,STATE.x,noviolations,NEWMostRecentViolationYear,NEWViolations2016.2020,newviolations_2016_2020,finmostrecentviolationyear,No.CDP,CountyCensusData,BinaryCoLoc,CensusPop_fin,PropNonWhite_All_Census_fin,NonWhite_All_Census_fin,PropNonWhite_no2plus_Census_fin,NonWhite_no2plus_Census_fin,PropHispLat_Census_fin,MedHHI_Census_fin,Under100PovLevel_fin,PropUnder100PovLevel_fin,Under150PovLevel_fin,PropUnder150PovLevel_fin,Under200PovLevel_fin,PropUnder200PovLevel_fin,GiniIndex_Census_fin,CensusWhiteProp_fin,CensusBlackProp_fin,CensusAmIndAKProp_fin,CensusAsianProp_fin,CensusNHPIProp_fin,CensusOtherProp_fin,Census2plusProp_fin,Census2plusOtherProp_fin
Allouez village,WI,Allouez,9,WI4050455,5,0,N,NA,NA,,Y,3,2020,,W,NA,Municipality,Yes,NA,3/1/2016,NA,NA,13932,Other,NA,Monthly,Constant,0,Increasing Block,3,2000,NA,18.36,NA,36.16,NA,43.16,NA,50.16,NA,64.16,NA,85.16,NA,132.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.16,NA,NA,NA,NA,NA,NA,NA,66149,152400,13932,5500,Brown,Bay Lake,Increasing,1.2,7.36,23.76,29.16,71.16,78.16,Municipality,P,Monthly,1,Increasing,NA,NA,Wisconsin,0,2020,3,3,2020,FALSE,0,0,13882,0.130528742,1812,0.112159631,1557,0.087955626,70915,758,0.060316702,1471,0.117052598,2600,0.206891064,0.4156,0.869471258,0.056908226,0.012894396,0.010373145,0,0.031983864,0.018369111,0.002593286
Alma Center village,WI,Alma Center,11,WI6270298,57,1,Y,2020,55,,,NA,NA,,W,NA,Municipality,Yes,NA,9/25/2017,NA,NA,509,GW,NA,Monthly,Constant,0,Decreasing Block,3,8333,NA,30.46,NA,46.84,NA,52.3,NA,57.76,NA,68.68,NA,82.16,NA,100.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.22,NA,NA,NA,NA,NA,NA,NA,44375,89700,509,231,Jackson,Mississippi River,Decreasing Block,1.12,19.53,35.92,41.38,74.14,78.44,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,0,2020,55,55,2020,FALSE,0,0,430,0.058139535,25,0.025581395,11,0.06744186,45625,47,0.109813084,110,0.257009346,173,0.404205607,0.3878,0.941860465,0,0,0.011627907,0,0.013953488,0.03255814,0.023255814
Alma city,GA,Alma,11,GA0050000,1,0,N,NA,NA,,,0,2012,,B,Bacon County,Municipality,Yes,No,11/1/2012,30150,1725,4700,GW,NA,Monthly,Constant,2000,Increasing/Decreasing Block,4,4999,2,7,14,9.35,18.7,11.7,23.4,14.5,28.1,24.5,38.1,39.5,53.1,52.3,79.6,Monthly,Constant,2000,Increasing/Decreasing Block,4,4999,2,7,14,9.35,18.7,11.7,23.4,14.5,28.1,24.5,38.1,39.5,53.1,52.3,79.6,0.84,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing/Decreasing Block,Monthly,Increasing/Decreasing Block,Georgia,0,2012,0,0,2012,FALSE,0,0,3437,0.535059645,1839,0.491125982,1688,0.040442246,28875,816,0.30211033,1354,0.501295816,1722,0.637541651,0.4851,0.464940355,0.45155659,0,0,0.007564737,0.032004655,0.043933663,0.015420425
Alma city,WI,Alma,10,WI6060192,2,0,N,NA,NA,,Y,0,2015,,W,NA,Municipality,Yes,NA,12/1/2017,NA,NA,863,GW,NA,Quarterly,Constant,0,Decreasing Block,3,6233,NA,17.15,NA,32.99,NA,38.27,NA,43.55,NA,53.86,NA,68.7,NA,93.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.83,NA,NA,NA,NA,NA,NA,NA,39417,133300,863,311,Buffalo,Mississippi River,Decreasing Block,0.93,8.15,22.43,27.71,58.8,63.75,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,0,2015,0,0,2015,FALSE,0,0,688,0.065406977,45,0.020348837,14,0.036337209,50625,61,0.093415008,124,0.189892802,184,0.281776417,0.3673,0.934593023,0.020348837,0,0,0,0,0.04505814,0.002906977
Almena village,WI,Almena,12,WI6030124,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,Yes,NA,10/1/2016,NA,NA,677,GW,NA,Quarterly,Constant,0,Decreasing Block,3,10000,NA,13.94,NA,19.04,NA,20.74,NA,22.44,NA,25.84,NA,30.94,NA,36.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.14,NA,NA,NA,NA,NA,NA,NA,37760,83100,677,336,Barron,West Central,Decreasing Block,1.19,7.56,15.64,17.34,27.54,29.24,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,767,0.097783572,75,0.096479791,74,0.045632334,40139,114,0.14863103,225,0.293350717,368,0.479791395,0.4891,0.902216428,0.009126467,0.057366362,0.006518905,0,0.023468057,0.001303781,0
Alpine CDP,AZ,Alpine Domestic Water Improvement District,11,AZ0401001,5,1,Y,2018,3,,,NA,NA,,W,Apache,Other_Govt,NA,NA,7/11/2013,NA,394,582,GW,NA,Monthly,By Meter Size,0,Uniform Rate,NA,NA,1.49,31,31,55,76,63,91,71,106,87,136,111,181,151,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DWID,Groundwater,M,1,Uniform Rate,NA,NA,Arizona,0,2018,3,3,2018,FALSE,0,0,154,0,0,0,0,0.331168831,39306,43,0.279220779,43,0.279220779,67,0.435064935,0.4187,1,0,0,0,0,0,0,0
Alpine CDP,AZ,Alpine Sanitary District,12,NA,0,0,N,NA,NA,,,NA,NA,,S,Apache,Other_Govt,NA,NA,7/11/2013,NA,NA,NA,NA,Sewer is unmetered and charged by usage type.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monthly,Constant,0,Non-Volumetric Flat Fee,NA,NA,1.96,23,45,23,45,23,45,23,45,23,45,23,45,23,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sanitary District,NA,NA,NA,NA,M,Non-Volumetric Flat Fee,Arizona,1,NA,0,0,NA,FALSE,0,0,154,0,0,0,0,0.331168831,39306,43,0.279220779,43,0.279220779,67,0.435064935,0.4187,1,0,0,0,0,0,0,0
Alston town,GA,Alston,12,GA2090001,1,0,N,NA,NA,,,1,2019,,W,Montgomery County,Municipality,Yes,NA,1/1/2019,57813,80,160,GW,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,2,NA,22,NA,24,NA,26,NA,3,NA,36,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,NA,NA,Georgia,0,2019,1,1,2019,FALSE,0,0,180,0.211111111,38,0.211111111,38,0.061111111,NA,16,0.09039548,68,0.384180791,81,0.457627119,0.4509,0.788888889,0.211111111,0,0,0,0,0,0
Alto town,GA,Utilities of Georgia - Apple Pie Ridge Subdivision,509,GA0110031,0,0,N,NA,NA,,,NA,NA,,W,Habersham County,For_Profit,No,NA,NA,43278,18,47,Other,NA,Monthly,Constant,2000,Uniform Rate,2,16000,NA,45,NA,53,NA,61,NA,69,NA,85,NA,19,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,P,Monthly,1,Implied Uniform Rate,NA,NA,Georgia,1,NA,0,0,NA,FALSE,0,0,1249,0.197758207,247,0.190552442,238,0.490792634,42857,248,0.198558847,336,0.269015212,564,0.451561249,0.3254,0.802241793,0.036829464,0,0.07846277,0,0.075260208,0.007205765,0
Alto town,GA,Alto,13,GA1370000,1,16,Y,NA,NA,Y,Y,NA,NA,,W,Habersham County,Municipality,Yes,NA,9/11/2018,38295,979,2545,GW,Has senior rates.  Churches pay $1.00 per month.,Monthly,Constant,2000,Uniform Rate,NA,NA,1.31372549,12,17,16.5,22.5,21,28,25.5,33.5,34.5,44.5,48,61,7.5,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,NA,NA,Georgia,0,NA,NA,NA,NA,FALSE,0,0,1249,0.197758207,247,0.190552442,238,0.490792634,42857,248,0.198558847,336,0.269015212,564,0.451561249,0.3254,0.802241793,0.036829464,0,0.07846277,0,0.075260208,0.007205765,0
Alton CDP,NH,Alton - Water,4,NH0061010,34,2,Y,NA,NA,,,2,2020,,W,NA,Municipality,NA,NA,NA,NA,703,1750,GW,Separate rates for seasonal customers.,Other,Constant,623.3333333,Uniform Rate,NA,NA,NA,8.33,NA,NA,NA,53.48,NA,66.84,NA,NA,NA,133.69,NA,200.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/1/2015,76676,Uniform Rate,NA,NA,80.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,G,Annually,0,Uniform Rate,NA,NA,NA,0,NA,NA,NA,NA,FALSE,0,0,252,0.067460317,17,0,0,0.174603175,NA,0,0,0,0,59,0.234126984,0.44,0.932539683,0,0,0,0,0,0.067460317,0
Altoona city,WI,Altoona,13,WI6180280,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,NA,NA,4/20/2015,NA,NA,7345,GW,NA,Quarterly,Constant,0,Decreasing Block,3,16667,NA,13.43,NA,23.03,NA,26.23,NA,29.43,NA,35.83,NA,45.43,NA,61.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.63,NA,NA,NA,NA,NA,NA,NA,50570,146500,7345,2941,Eau Claire,West Central,Implied Uniform Rate,1.36,7.53,16.63,19.83,39.03,42.23,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,7625,0.060590164,462,0.044590164,340,0.035278689,55571,612,0.080600553,1117,0.14710918,1571,0.206901093,0.4449,0.939409836,0.008,0,0.034885246,0,0.001704918,0.016,0
Ambrose city,GA,Ambrose,14,GA0690000,3,0,N,NA,NA,,,2,2016,,W,Coffee County,Municipality,No,NA,1/1/2012,21719,176,380,GW,NA,Monthly,Constant,2000,Decreasing Block,3,7000,NA,12,NA,12.8,NA,13.6,NA,14.4,NA,16,NA,17.65,NA,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Decreasing Block,NA,NA,Georgia,0,2016,2,2,2016,FALSE,0,0,266,0.105263158,28,0.105263158,28,0.406015038,19375,67,0.252830189,146,0.550943396,173,0.652830189,0.6412,0.894736842,0.105263158,0,0,0,0,0,0
Americus city,GA,Americus,15,GA2610000,0,0,N,NA,NA,,,NA,NA,,B,Sumter County,Municipality,No,No,1/1/2018,27914,7102,16255,GW,NA,Monthly,Constant,0,Uniform Rate,NA,NA,2,7.1,14.2,16.4,32.81,19.51,39.1,22.61,45.22,28.81,57.62,38.12,76.23,53.62,17.25,Monthly,Constant,0,Uniform Rate,NA,NA,2,12.5,25,24.33,48.66,28.28,56.55,32.22,64.44,4.11,8.21,51.94,13.88,71.66,143.32,1.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,1,NA,0,0,NA,FALSE,0,0,15503,0.704573308,10923,0.685093208,10621,0.019415597,33347,4328,0.302509261,6074,0.424547424,7546,0.527434123,0.4668,0.295426692,0.669934851,0,0.007804941,0,0.007353415,0.019480101,0.001806102
Amery city,WI,Amery,14,WI6490328,5,0,N,NA,NA,,Y,3,2018,,W,NA,Municipality,Yes,NA,4/1/2016,NA,NA,2962,GW,NA,Quarterly,Constant,0,Decreasing Block,4,7333,NA,13.16,NA,19.19,NA,21.2,NA,23.21,NA,27.23,NA,31.82,NA,39.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.22,NA,NA,NA,NA,NA,NA,NA,39278,120100,2962,1215,Polk,West Central,Decreasing Block,1.15,7.52,15.17,17.18,28.88,30.35,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,0,2018,3,3,2018,FALSE,0,0,2819,0.049308265,139,0.025540972,72,0.005675772,55764,98,0.03670412,491,0.183895131,1023,0.383146067,0.3789,0.950691735,0.008868393,0.003547357,0.013125222,0,0,0.023767293,0
Amherst village,WI,Amherst,15,WI7500094,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,Yes,NA,2/1/2017,NA,NA,1058,GW,NA,Monthly,Constant,0,Decreasing Block,3,1.00E+05,NA,22.55,NA,40.85,NA,46.95,NA,53.05,NA,65.25,NA,83.55,NA,114.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.15,NA,NA,NA,NA,NA,NA,NA,40703,132800,1058,530,Portage,North Central,Implied Uniform Rate,0.92,10.55,28.65,34.75,71.35,77.45,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,1069,0.002806361,3,0.002806361,3,0.000935454,50729,104,0.097652582,314,0.294835681,367,0.344600939,0.4407,0.997193639,0.002806361,0,0,0,0,0,0
Andersonville city,GA,Andersonville,16,GA2610001,2,0,N,NA,NA,,,0,2015,,B,Sumter County,Municipality,No,No,4/1/2018,28750,106,274,GW,Sewer base charge includes $5.00 monthly debt recovery fee.,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,11,NA,15,NA,19,NA,23,NA,31,NA,43,NA,63,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,16,NA,2,NA,24,NA,28,NA,36,NA,48,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,0,2015,0,0,2015,FALSE,0,0,198,0.53030303,105,0.52020202,103,0,29583,53,0.270408163,68,0.346938776,88,0.448979592,0.4391,0.46969697,0.505050505,0,0.015151515,0,0,0.01010101,0
Anthem CDP,AZ,EPCOR Water Company - Anthem,125,AZ0407504,5,0,N,NA,NA,,Y,1,2017,,B,Maricopa,For_Profit,No,No,7/1/2019,94350,8568,25302,SW,Has interruptable water rates. Base Charges include interim surcharge of $2.5302.,Monthly,By Meter Size,0,Increasing Block,5,2000,NA,29.61,NA,36.11,NA,39.36,NA,42.61,NA,53.45,NA,71.87,NA,109.77,NA,Monthly,Constant,0,Non-Volumetric Flat Fee,NA,NA,NA,51.63,NA,51.63,NA,51.63,NA,51.63,NA,51.63,NA,51.63,NA,51.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Surface Water,M,1,Increasing Block,M,Non-Volumetric Flat Fee,Arizona,0,2017,1,1,2017,FALSE,0,0,22468,0.067429233,1515,0.047712302,1072,0.081538188,102719,1049,0.046732303,1987,0.088519624,2554,0.113779124,0.4279,0.932570767,0.016556881,0.007032224,0.012551184,0.001735802,0.009836212,0.019716931,0.001869325
Antigo city,WI,Antigo,16,WI7340086,1,0,N,NA,NA,,Y,0,2012,,W,NA,Municipality,Yes,NA,1/4/2016,NA,NA,8710,GW,NA,Monthly,Constant,0,Decreasing Block,3,14960,NA,16.68,NA,28.23,NA,32.08,NA,35.93,NA,43.63,NA,55.18,NA,74.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.78,NA,NA,NA,NA,NA,NA,NA,35700,77200,8710,3619,Langlade,North Central,Decreasing Block,1.3,7.62,20.53,24.38,47.48,51.33,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,0,2012,0,0,2012,FALSE,0,0,7780,0.074550129,580,0.049742931,387,0.034318766,39863,1424,0.187862797,2546,0.335883905,3225,0.425461741,0.3897,0.925449871,0.02159383,0.013239075,0.001156812,0,0.013753213,0.024807198,0
Antrim CDP,NH,Antrim - Water and Sewer,7,NH0091010,2,1,N,NA,NA,,,2,2017,,B,NA,Municipality,NA,NA,NA,NA,368,920,GW,NA,Quarterly,Constant,1666.666667,Uniform Rate,NA,NA,NA,17.78,NA,NA,NA,36.42,NA,44.41,NA,NA,NA,84.36,NA,124.31,NA,Other,Constant,1666.666667,NA,NA,NA,NA,24.39,NA,NA,NA,48.93,NA,59.45,NA,NA,NA,112.05,NA,164.65,NA,NA,NA,4/15/2016,67552,Uniform Rate,NA,0.88,52.4,NA,Uniform Rate,Uniform Rate,NA,0.88,69.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,G,Quarterly,0,Uniform Rate,Quarterly,NA,NA,0,2017,2,2,2017,FALSE,0,0,1388,0.051152738,71,0.023775216,33,0.010806916,56250,126,0.091836735,266,0.193877551,331,0.241253644,0.4044,0.948847262,0.011527378,0.007204611,0,0,0.005043228,0.027377522,0
Apache County,AZ,Lord Arizona Water Systems,230,"AZ0401373, AZ0401047",24,2,Y,2020,9,,,NA,NA,Two EPA results with the same name; populations add up to the spreadsheet,W,Apache,For_Profit,No,NA,8/1/1991,32360,335,865,GW,NA,Monthly,By Meter Size,1000,Uniform Rate,NA,NA,NA,22,NA,26.96,NA,29.44,NA,31.92,NA,36.88,NA,44.32,NA,56.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Uniform Rate,NA,NA,NA,0,2020,9,9,2020,TRUE,1,1,71511,0.771671491,55183,0.754331501,53943,0.063360882,32508,24963,0.354572959,34436,0.489126884,42641,0.605670213,0.5013,0.228328509,0.005215981,0.737718673,0.00344003,0.000279677,0.007677141,0.01733999,0.001957741
Apache County,AZ,Pinecrest Water Company,299,AZ0401010,2,0,N,NA,NA,,Y,0,2013,,W,Apache,For_Profit,No,NA,11/1/2005,NA,47,82,GW,NA,Monthly,By Meter Size,0,Increasing Block,2,3000,NA,30,NA,39.75,NA,45.25,NA,50.75,NA,61.75,NA,78.25,NA,105.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,NA,0,2013,0,0,2013,TRUE,1,1,71511,0.771671491,55183,0.754331501,53943,0.063360882,32508,24963,0.354572959,34436,0.489126884,42641,0.605670213,0.5013,0.228328509,0.005215981,0.737718673,0.00344003,0.000279677,0.007677141,0.01733999,0.001957741
Apache County,AZ,Livco Water Company,228,AZ0401018,25,0,Y,2018,12,,,NA,NA,,W,Apache,For_Profit,No,NA,2/1/2012,NA,410,765,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,3000,NA,18.75,NA,23.25,NA,25.99,NA,28.73,NA,34.21,NA,42.43,NA,65.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,NA,0,2018,12,12,2018,TRUE,1,1,71511,0.771671491,55183,0.754331501,53943,0.063360882,32508,24963,0.354572959,34436,0.489126884,42641,0.605670213,0.5013,0.228328509,0.005215981,0.737718673,0.00344003,0.000279677,0.007677141,0.01733999,0.001957741
Apache County,AZ,Concho Wastewater Improvement District,93,AZ0401011,48,6,Y,2020,22,,,NA,NA,,S,Apache,Other_Govt,NA,No,10/10/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monthly,By Meter Size,0,Non-Volumetric Flat Fee,NA,NA,NA,35,NA,35,NA,35,NA,35,NA,35,NA,35,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DWID,NA,NA,NA,NA,M,Non-Volumetric Flat Fee,NA,0,2020,22,22,2020,TRUE,1,1,71511,0.771671491,55183,0.754331501,53943,0.063360882,32508,24963,0.354572959,34436,0.489126884,42641,0.605670213,0.5013,0.228328509,0.005215981,0.737718673,0.00344003,0.000279677,0.007677141,0.01733999,0.001957741
Apache Junction city,AZ,Apache Junction Water Utilities Community Facilities District,18,AZ0411039,135,4,Y,2020,62,,,NA,NA,,W,Pinal,Other_Govt,Yes,NA,10/1/2018,39119,4200,13657,SW,NA,Monthly,By Meter Size,0,Increasing Block,3,4000,1.05,23.53,24.24,35.17,36.84,39.05,41.04,44.53,46.97,55.49,58.83,71.93,76.62,102.18,109.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DWID,Surface Water,M,1,Increasing Block,NA,NA,Arizona,0,2020,62,62,2020,FALSE,0,0,40592,0.072304888,2935,0.052251675,2121,0.154291486,45653,5637,0.139336563,9810,0.242485663,15359,0.379647024,0.4429,0.927695112,0.01118447,0.010790304,0.009706346,0.00064052,0.019930035,0.020053212,0.001946196
